,ID,Followers,Following,Posts,Is private,ID has number,ID has number at end,ID letter ratio,Following/follower ratio,Following/post ratio,Follower/post ratio,IsFake
179,evolution.bmw,940,550,3,False,False,False,0.9230769230769232,0.5851063829787234,183.33333333333331,313.3333333333333,True
180,nayrhss.edits_,54,36,1,False,False,False,0.8571428571428571,0.6666666666666666,36.0,54.0,False
181,gabrielreynaudsabat,183,193,40,True,False,False,1.0,1.0546448087431697,4.825,4.575,False
182,jordyggb,15200,408,517,False,False,False,1.0,0.026842105263157896,0.7891682785299806,29.400386847195357,False
183,hjjd_bhd,0,5,0,False,False,False,0.875,inf,inf,inf,True
184,_aryamaula,987,1015,6,False,False,False,0.9,1.0283687943262412,169.16666666666666,164.5,False
185,luigi.braccioforte,101,210,0,False,False,False,0.9444444444444444,2.0792079207920797,inf,inf,True
186,za_rza,538,233,14,False,False,False,0.8333333333333334,0.4330855018587361,16.642857142857142,38.42857142857143,False
187,l00t_,7677,328,8,False,True,False,0.4,0.04272502279536277,41.0,959.625,False
188,masha__dream_,234,33,28,False,False,False,0.7692307692307693,0.14102564102564102,1.1785714285714286,8.357142857142858,False
189,bekhruz.8,402,458,6,False,True,True,0.7777777777777778,1.1393034825870647,76.33333333333333,67.0,False
190,adriantoncetich,735,529,480,False,False,False,1.0,0.7197278911564626,1.1020833333333333,1.53125,False
191,fatih.photographer,694,56,24,False,False,False,0.9444444444444444,0.08069164265129683,2.333333333333333,28.91666666666667,False
192,ins_ta_er,448,0,2,False,False,False,0.7777777777777778,0.0,0.0,224.0,False
193,fatinhasrina,89,284,27,True,False,False,1.0,3.191011235955056,10.518518518518519,3.2962962962962963,False
194,merocord,3063,221,18,False,False,False,1.0,0.07215148547175973,12.277777777777779,170.16666666666666,False
195,manishsharma5397,367,155,25,False,True,True,0.75,0.4223433242506812,6.2,14.68,False
196,meylani_pakaya10,91,171,13,False,True,True,0.8125,1.879120879120879,13.153846153846152,7.0,False
197,juancho1511,4695,2421,610,False,True,True,0.6363636363636364,0.5156549520766773,3.9688524590163934,7.69672131147541,False
198,_thaodaynay_,24,491,0,True,False,False,0.8333333333333334,20.45833333333333,inf,inf,True
199,sm.yh4769,117,1395,41,True,True,True,0.4444444444444444,11.923076923076925,34.02439024390244,2.8536585365853657,True
200,anna_xenia15,1378,5618,17,False,True,True,0.75,4.076923076923077,330.4705882352941,81.05882352941177,False
201,alhammadii_s,3,92,0,False,False,False,0.9166666666666666,30.66666666666667,inf,inf,False
202,omprakashbairwao577,2,6,0,False,True,True,0.8421052631578947,3.0,inf,inf,False
203,ytgachaaexo,0,21,0,False,False,False,1.0,inf,inf,inf,True
204,3.an2_,225,304,1,False,True,False,0.3333333333333333,1.3511111111111112,304.0,225.0,True
